"","(Intercept) Estimate","(Intercept) Std. Error","(Intercept) t value","(Intercept) Pr(>|t|)","model.bw Estimate","model.bw Std. Error","model.bw t value","model.bw Pr(>|t|)","model.DOL Estimate","model.DOL Std. Error","model.DOL t value","model.DOL Pr(>|t|)","model.Subject_IDPH02 Estimate","model.Subject_IDPH02 Std. Error","model.Subject_IDPH02 t value","model.Subject_IDPH02 Pr(>|t|)","model.Subject_IDPH03 Estimate","model.Subject_IDPH03 Std. Error","model.Subject_IDPH03 t value","model.Subject_IDPH03 Pr(>|t|)","model.Subject_IDPH04 Estimate","model.Subject_IDPH04 Std. Error","model.Subject_IDPH04 t value","model.Subject_IDPH04 Pr(>|t|)","model.Subject_IDPH05 Estimate","model.Subject_IDPH05 Std. Error","model.Subject_IDPH05 t value","model.Subject_IDPH05 Pr(>|t|)","model.Subject_IDPH06 Estimate","model.Subject_IDPH06 Std. Error","model.Subject_IDPH06 t value","model.Subject_IDPH06 Pr(>|t|)","model.Subject_IDPH07 Estimate","model.Subject_IDPH07 Std. Error","model.Subject_IDPH07 t value","model.Subject_IDPH07 Pr(>|t|)","model.Subject_IDPH08 Estimate","model.Subject_IDPH08 Std. Error","model.Subject_IDPH08 t value","model.Subject_IDPH08 Pr(>|t|)","model.Subject_IDPH09 Estimate","model.Subject_IDPH09 Std. Error","model.Subject_IDPH09 t value","model.Subject_IDPH09 Pr(>|t|)","model.Subject_IDPH10 Estimate","model.Subject_IDPH10 Std. Error","model.Subject_IDPH10 t value","model.Subject_IDPH10 Pr(>|t|)","(Intercept) Pr(>|t|).BH","model.bw Pr(>|t|).BH","model.DOL Pr(>|t|).BH","model.Subject_IDPH02 Pr(>|t|).BH","model.Subject_IDPH03 Pr(>|t|).BH","model.Subject_IDPH04 Pr(>|t|).BH","model.Subject_IDPH05 Pr(>|t|).BH","model.Subject_IDPH06 Pr(>|t|).BH","model.Subject_IDPH07 Pr(>|t|).BH","model.Subject_IDPH08 Pr(>|t|).BH","model.Subject_IDPH09 Pr(>|t|).BH","model.Subject_IDPH10 Pr(>|t|).BH"
"seq_1",54.0555347221907,8.11184215269435,6.6867952529528,4.20389517780944e-08,-0.0382345126738115,0.00719296722918549,-5.32940856754965,4.30525669143715e-06,-0.157642795422593,0.0300858389700694,-5.26414113246597,7.77111208833483e-06,1.69099641405135,1.49077446345354,1.13036300402398,0.277849264424776,4.42502640432043,2.99842408406847,1.48714237077786,0.185154370654301,-13.0513573963721,3.32988012467083,-3.92565873421462,0.000323199313325276,-0.661558499239821,1.36931812611113,-0.492274258541816,0.631908384618981,11.3430165342777,4.00658832272953,2.83813800683156,0.00753358829816048,-6.90152939689744,2.60715482556879,-2.65739376257844,0.0117067960789311,2.11142745587499,2.54814403879794,0.834973507674401,0.416253072236708,-9.18917662235727,3.08962083089245,-2.98174517823198,0.00516017743579522,-9.68324518483942,3.55012495960644,-2.73638167889641,0.00969572904743779,9.6680421380882e-07,9.67407336452687e-05,0.000176395752691005,0.991945894767912,0.945451620590535,0.00720842110157894,0.998202785843624,0.165795793079641,0.234307795809546,1,0.102367148237347,0.194283892139273
"seq_2",-12.0896860247438,11.1975243726524,-1.07594248488016,0.317255043878588,0.0121593262097635,0.00992911651193086,1.22330019873299,0.253196454345117,0.120228582549835,0.0415302601798223,2.89761196654642,0.00674622425918294,1.14451307211499,2.05785357683572,0.554721461277285,0.581296272561051,-4.86752908075674,4.13900149052489,-1.18033762084278,0.272657012385457,3.4365949343906,4.5965408537477,0.748423012385525,0.481304509977702,7.17014506153804,1.89019618508616,3.79918762303555,0.00047620365713243,-4.38917460151246,5.53066363354306,-0.804232708738905,0.499680724584503,12.9976556301274,3.59889642242213,3.6162962471443,0.000919338980516767,2.18270683705579,3.51743838728316,0.622805321716693,0.554299156410004,13.1623342460131,4.26488877679672,3.09073439657677,0.00501450192343142,12.672242562061,4.90056512600542,2.58932432322632,0.0146275999472519,0.998961974539992,0.998168294032294,0.130692307693129,1,0.990238057507182,1,0.0072936119291075,0.963695827603262,0.020693873732636,1,0.0966170511594259,0.27761596412927
"seq_3",-6.87035011648854,9.40880727377871,-0.727536294573099,0.49390273908938,0.0145747016190945,0.00834301766628105,1.75500477115815,0.0998951405594399,0.0818952057901707,0.0348961253450058,2.36090801913031,0.0460152783729577,-6.02975102320958,1.72912753370656,-3.51103266866157,0.00168719683834683,-13.452284076551,3.47782831581433,-3.89498601705201,0.000704934667758423,6.0923416131752,3.862279337796,1.58794026492879,0.134849426453791,-14.6067671404021,1.58825210137898,-9.26869860022245,1.8296482877643e-10,-12.5692768364441,4.64718329626438,-2.72246298137016,0.0233723316392119,-7.07706687730236,3.02400081571252,-2.35815911601305,0.0414474807011689,-11.3591937694595,2.95555506573986,-3.88288607589151,0.00137096726947164,-7.28515064363614,3.58360609091286,-2.05782568955805,0.0741927757934695,-9.44736269426208,4.11773810609392,-2.31336001943543,0.0510520644843647,1,0.90376779312143,0.450959968501935,0.025606349891837,0.0155455200588189,0.967409158427988,4.20819106185789e-09,0.401488026037393,0.490705039269408,0.0288862454874353,0.643093949476241,0.533193950612555
"seq_4",-39.7297652106156,9.47771485416794,-4.2203593826079,0.00046899937901175,0.041107008042719,0.00840411968950245,4.92761077951396,4.98054933772291e-05,-0.0075087909929259,0.0351516952055114,-0.21450508632813,0.625485576261622,-8.70765066035937,1.74179119989347,-5.04437041308357,9.73254757759435e-05,-0.714985798687627,3.50329899740856,-0.2112744583893,0.776193232268464,14.7466816141251,3.89056563553924,3.81923170779453,0.00163262164053064,-5.37276033211299,1.59988403369193,-3.38483749764952,0.00862638938002983,-11.2813955800571,4.68121802003466,-2.4286621836524,0.0374491679687929,2.09655028002984,3.0461477864435,0.686577699770736,0.496206225646856,3.5843936442233,2.97720075815986,1.20551898784182,0.300631566122539,9.42423181234904,3.6098514605551,2.62944069323798,0.0326610940187169,7.28533888563133,4.14789531532471,1.76359435835883,0.141911783585465,0.00964411290590161,0.00105444076827018,1,0.00159889988933797,1,0.0338210538491277,0.07830526772682,0.525167971366653,0.980073407359655,0.941355241877374,0.365767249927082,0.770179670225668
"seq_5",-10.1414221563512,10.0716408078336,-1.01107911003037,0.360369793869028,0.00505080503046462,0.00893076824119558,0.568321758188789,0.526744966514584,0.0587881623660462,0.0373544945531534,1.58091513480119,0.184565786751767,-1.32340336440728,1.85094145556171,-0.721113179109591,0.462589287367451,1.05351105279104,3.7228350596374,0.28748583921102,0.589835869202252,1.55551357157034,4.13436996400248,0.382508811981001,0.60185512546409,8.86725704760508,1.70014160264032,5.25452380910979,2.83372199087468e-05,2.77209602940794,4.97456899330679,0.556350695346172,0.520974904340084,2.05854852550133,3.23703622916494,0.638366115105374,0.525421390750235,0.866303197579233,3.16376859932746,0.278081318819358,0.615493939546633,3.386364552606,3.83606468856319,0.890441615747066,0.415124760372185,1.93821622369387,4.40782534263252,0.437556645436912,0.58028455346015,0.959886308447142,0.990439123512459,0.839695697706617,0.967064881916146,1,0.993333262085529,0.00048925754411428,0.997873921368736,0.970190729127073,0.998150208537461,0.961858090414254,0.994858858801736
"seq_6",-0.282446575529502,8.45527695642766,-0.0396300051791143,0.570300107396195,-0.00184006538336448,0.00749749920134609,-0.238977360515462,0.558954926836383,-0.0182364447023497,0.0313595970150784,-0.591139569627342,0.522995268514332,11.246441979412,1.55389006970295,7.31201660758614,2.13808591604956e-07,3.94347197207816,3.12536974788162,1.26759412106078,0.290073994402452,0.0889828177967025,3.47085879579696,0.0409389440546817,0.606722853391591,-1.18897299235144,1.42729157937084,-0.850010550793848,0.434455882561413,1.65341233734643,4.17621710104591,0.383353865031607,0.508264728509513,-0.852505245693573,2.71753514226716,-0.31417545858624,0.549806018290512,0.972798921805978,2.65602598859132,0.37763838680993,0.542552686673319,0.242930326588818,3.22042753345082,0.0840816905892978,0.574922075764903,0.336925772992609,3.70042823792236,0.0944517916705475,0.550474962987366,0.997216329850423,1,0.965581158515344,3.84999140412832e-06,0.905262052033462,0.987892150269928,0.923601977828521,0.972886224725137,0.993101728529392,0.983873163258135,0.989332161046753,0.992500262210195
"seq_7",7.33909057793367,7.17560819871365,1.05016703786584,0.38248829702492,-0.00739651375812161,0.00636278586925886,-1.18578120100447,0.344323101480835,-0.0585434809571832,0.02661346075467,-2.2386167560773,0.0996197657728728,12.487639911273,1.31871568270558,9.58913154037076,2.05614398750594e-11,1.96510362529409,2.65235886446777,0.749759232921025,0.430254110830807,-1.67523477638538,2.94555967356752,-0.593604200532767,0.432849473104672,-1.78942657307545,1.21127731376117,-1.51282534969861,0.22987016371932,1.43267369217356,3.54416512011383,0.410101042784239,0.491962105017315,-2.91369186181578,2.30624822198413,-1.28821460131326,0.309400942668081,0.597798505031541,2.2540482065752,0.26218041905616,0.527065367515806,-2.21027757502505,2.73303007476602,-0.833383771565688,0.403402501456699,-1.29606591440796,3.14038479633738,-0.427573993796142,0.505229878532125,0.894226259977115,0.867374925660928,0.527616905823539,4.52636084556459e-10,0.950230132450562,0.969003134708515,0.690719714074039,0.986810777111923,0.813331582437724,0.979640651513248,0.942784394600743,0.969731197542815
"seq_8",-7.88907707227937,8.10403712551917,-0.965883472747607,0.420444834046889,0.00560127164157702,0.00718604632224017,0.773570546962557,0.473606572683115,-0.0105303320899383,0.0300568910706491,-0.363556221183394,0.544592269925107,12.0127580743083,1.48934007469446,8.11805361372551,5.38546367753265e-10,2.25011845863648,2.99553906966381,0.758765457336673,0.460507467820861,2.6946931189881,3.32667619091892,0.804171026527914,0.464358222600677,-1.18098539841326,1.36800059983478,-0.867644436589061,0.40113116773737,0.093807820839204,4.00273327597813,0.0204723569017473,0.58275733088391,2.19629150718731,2.60464628140824,0.846275152792769,0.446042510369432,2.23276028443507,2.54569227345356,0.865538322331456,0.42340450406894,3.77802704191991,3.0866480690842,1.22306239111093,0.345498259994155,6.76051125077027,3.54670911136095,1.91264024865478,0.126754266776316,0.917906576463035,0.947971573026311,0.984774022606093,1.12604347987578e-08,0.987907539111599,0.951244852434012,0.902021635189275,0.991449256161712,0.939242134754291,0.961683695086194,0.870641854557585,0.706298716708241
"seq_9",-2.53732135545488,10.2929060902359,-0.245955144218988,0.635306250641768,-0.00156317662819922,0.00912696953497296,-0.17266291716026,0.637110144161367,0.0975499737830265,0.0381751406568023,2.56908070114656,0.0275718687245781,-2.89002178427886,1.89160504669738,-1.53814873127966,0.194495375087965,2.2908513160386,3.80462254258331,0.601633556488128,0.526915462250184,-3.7398119065636,4.22519851469198,-0.892635644579939,0.421040877411219,2.76962944119142,1.73749225076307,1.61446761689979,0.169559285111433,2.73549305530583,5.08385599372065,0.538309287243511,0.516425432749239,1.88540717832091,3.30815112981109,0.570971215095967,0.580134250087777,-2.86650517414824,3.23327387318923,-0.894140668763769,0.422958227864983,-0.579627472654018,3.92033972902814,-0.144681525361022,0.624065089762849,-2.32160402605627,4.50466147269578,-0.519155857472791,0.563405652525286,1,0.999376755355856,0.369913769417066,0.802191377573353,0.991402998457056,0.977405389015127,0.725548035249826,0.997396289331302,0.994661944101221,0.983459563209507,1,0.981784395194714
"seq_10",-32.9338162317811,8.34339691903392,-3.97951622254055,0.0010755246722331,0.0321722107833586,0.00739829245799175,4.3855646781695,0.000279823813472432,-0.0125615714454866,0.0309446475220246,-0.401824852880726,0.544529371754481,-6.38730140053453,1.53332903072102,-4.20049531762464,0.00138208523779102,-13.2523923634182,3.08401492460804,-4.33264710374577,0.000285093700183427,10.9135527644681,3.42493246909432,3.21296465742255,0.011925725181866,-3.42679910949731,1.40840568880869,-2.45989843481272,0.067249909723282,-7.51660694436021,4.12095748887268,-1.85539502649421,0.134602183280512,5.46565389763534,2.68157677746108,2.06097299054993,0.118031601982212,4.68514693786341,2.62088151154418,1.79331132341371,0.14142559044166,10.1104351660951,3.17781490766422,3.21234247624068,0.0111282232470282,15.1584446297903,3.65146425344674,4.20308324551187,0.00194584861586321,0.0216781105223579,0.00565627842123063,0.983923715664174,0.0193137544456238,0.00625207848399841,0.174950696330377,0.342382021334737,0.778908368552355,0.621871967497407,0.753064569895799,0.166248850259976,0.0269222740034562
"seq_11",26.6694873842933,9.26712982340067,2.90149637408956,0.0162835978079728,-0.0238244975410917,0.0082173888339516,-2.92104333174775,0.0145793255944064,0.00637151749877883,0.0343706608601788,0.191672795486155,0.603843568426879,-4.93093373840167,1.70309039921909,-2.91703531035012,0.018389888588347,4.84804074698347,3.42545931363376,1.42752496419992,0.230347705069762,-5.26372465724664,3.80412128722654,-1.38764964685215,0.223998827007277,-6.63501505861544,1.56433626361833,-4.28165301572013,0.000836679567234786,1.97572440403017,4.57720619271704,0.429151349191925,0.516027231250618,-6.94052888911621,2.97846553020346,-2.3492598248262,0.0508032750582297,-8.27502004963463,2.91105043364554,-2.868051527009,0.0165092642479553,-11.863295137942,3.52964429114949,-3.38772933954247,0.00558844807412159,-10.8274199246879,4.05573336742511,-2.69671051397135,0.0252771394341785,0.248129194640303,0.238635334132348,0.994032978611119,0.183419903240074,0.9121779965273,0.935655569922159,0.0114001719206436,0.991471361405013,0.489863931606741,0.265673722473162,0.0930120711072477,0.332125049902737
"seq_12",10.0152511786652,10.6558416835095,0.947763407718682,0.397296336808124,-0.0110288730855167,0.00944879333030585,-1.17534134275149,0.302039969720961,0.0497103979434105,0.039521224765713,1.26506671237926,0.24994792722011,2.27696004312877,1.95830446023945,1.17326229701922,0.292430309472713,3.4118387212838,3.93877638869526,0.870510131094624,0.419648732154111,-7.71881812326033,4.37418218521072,-1.77784866212632,0.112832070715081,1.35043016989324,1.79875753146325,0.759653399312129,0.48187062335376,2.12495426073478,5.26311657134784,0.407680004361313,0.537084893702031,0.0117933871480603,3.42479902132109,0.00651102104795396,0.726722552014108,-4.87197151448096,3.3472815364375,-1.46521719050925,0.211136306645021,-5.30145413154409,4.05857384997657,-1.31405398269624,0.242857756052697,0.285317728108256,4.6634992168427,0.0641171684551907,0.742728517639349,0.98759602002439,0.960226512870322,0.962253214954949,0.929430948736036,0.983891589939299,0.841838956977666,0.972292251770948,0.994221137331834,1,0.901670851481695,0.945237037346999,1
"seq_13",-5.81448281937954,9.2782350975068,-0.643323042478632,0.526190719819428,0.00225092214391713,0.00822723614991423,0.28909953067517,0.590857980729686,0.0186820695016188,0.0344118489753056,0.553487743851392,0.52908909960092,-1.26466151232986,1.70513129926811,-0.748848675393942,0.463761721101286,0.989041489782132,3.42956421615937,0.286619646472858,0.587185190419571,1.28568564835858,3.80867995969932,0.353441635049257,0.585355127185744,5.1344829709575,1.56621088751296,3.31857830016179,0.00950589500324264,2.14619754208205,4.58269129224398,0.460896578147698,0.457457377343117,3.43591626261853,2.98203477729062,1.17202438613632,0.341867443703526,1.40176219777526,2.91453889378567,0.491500980551037,0.532278933522461,2.61735040186116,3.53387404384502,0.760900480133341,0.481073010654649,1.19645281614044,4.06059355948079,0.301815786231518,0.552054034548628,0.956112524117227,0.984594298761381,0.997232860939284,0.960575165384384,0.995550420662181,0.971913183721717,0.0943923864755776,0.996732870606886,0.913726744123476,0.986449778971791,0.942183250569285,0.97928199220046
"seq_15",1.21274084276189,8.88976246610508,0.143201968439632,0.625838275710687,-0.000681018673490169,0.00788276804334736,-0.0895441191795518,0.644823959985954,-0.0806032489238157,0.0329710510883855,-2.47244437277322,0.055047798408739,-2.5413667538875,1.63373875146663,-1.56382458887974,0.19283936320502,-1.33045915330422,3.28597097653877,-0.411397326744927,0.566864277100578,1.22476142080136,3.64921343286935,0.335439199709172,0.580611450352203,-1.18641152060217,1.50063483146264,-0.795786531557537,0.462484389189529,-0.402417080907334,4.3908175008935,-0.0944668554852038,0.648308755163404,-1.95604953161003,2.85717925415597,-0.693251381902757,0.477393328656551,13.9506258669606,2.79250937184612,5.0247655619634,2.54464283542478e-05,4.32922864636516,3.3859134312471,1.28538847886532,0.270778164283152,0.328902462799941,3.89057960224357,0.0897591988523645,0.608364306816192,0.995208017005989,0.997477925352094,0.455186641008756,0.790441869661229,0.989237929246398,1,0.94471723630212,0.98446226463265,0.976236314182768,0.000576700194113933,0.915581635070049,0.995948308273017
"seq_16",-11.8082510612333,9.66545600783308,-1.23815169122421,0.295290474955372,0.00611859305698553,0.0085705943250369,0.726514251506691,0.462609948697287,0.0760196448123177,0.0358480043805301,2.15076770730388,0.0788563004666757,4.82595494786122,1.77629380883912,2.74154595238182,0.0215003709712676,1.10560904068237,3.57269477534951,0.314512116556973,0.551865220536372,1.72620067192638,3.96763265982357,0.440950603247554,0.577135583890108,0.605160860238031,1.6315756470014,0.376480952354443,0.578533892585675,2.87140696515204,4.77394683548882,0.609317005553276,0.49450704655442,5.23615023401985,3.10648799592025,1.70712915139539,0.156161366899762,1.01033942103892,3.03617521704895,0.336649246113033,0.58786948057361,3.75284553335887,3.68135790363682,1.03368005638377,0.362875684742032,2.21563091916195,4.23005970450116,0.529939737392228,0.561717430540899,0.92597544605406,0.991337883188701,0.595735432161967,0.242913500186702,0.998206196329063,0.999845289416688,0.97513709813165,1,0.80218736211257,0.99945060317275,0.954511917249597,0.994624839754461
"seq_17",-2.65387312526707,8.55623598696065,-0.319822705230521,0.55909769350347,-0.000177406897266537,0.00758702202297457,-0.0141969475552701,0.569315892078732,-0.00105918077571967,0.0317340418178759,-0.0319168089613046,0.57907175116507,8.18830310584387,1.57244407281846,5.24454018629502,3.46646828957732e-05,2.94586933901918,3.16268778032802,0.937529582777995,0.391714930596733,4.40922252631144,3.51230209102506,1.27562415432307,0.30874557809422,-1.18725020150899,1.44433395123918,-0.820718177851435,0.421471897893391,1.84727750152634,4.22608262668033,0.437919061582678,0.435325073766784,1.4091762517681,2.74998348367768,0.520016716583147,0.482929202834666,1.00164109911485,2.68773988871079,0.373447342452856,0.554223142182134,2.35503657234896,3.25888058985033,0.742409702975739,0.473763890950751,0.912943542326488,3.74461267438527,0.244874536741263,0.55427896516268,0.988432490414288,0.994904994444965,0.997823977848309,0.000590455621588596,0.977318220562202,0.897950034196954,0.912513165516233,0.981724660192933,0.988101018331877,0.991649570829277,0.959259652057654,0.990450440254931
"seq_19",4.67673978353776,8.13053540825979,0.586421355900311,0.486053468510771,-0.0053044292826183,0.00720954299239168,-0.746514650585755,0.460740036645705,-0.0572790120306482,0.0301551699883735,-1.92693867242055,0.130998530421604,-1.50383525684762,1.49420986413211,-1.01056031563031,0.375828241436739,1.84512876190149,3.005333773217,0.619053534599302,0.473888394669974,-0.391025153957054,3.33755363446072,-0.115259379894456,0.552333424126306,5.93326169664471,1.37247363791719,4.38936371115816,0.00152077962500564,1.96772307434651,4.01582126612914,0.489491536897425,0.482484163968551,-0.560087853352466,2.61316285808911,-0.219245764366239,0.538966425728525,1.38284613378375,2.55401608448598,0.548325456813924,0.499337410407603,-1.26618019807456,3.09674067749512,-0.411996317369488,0.493751359505336,-0.282896241395781,3.55830601045901,-0.079704393518012,0.569971540367089,0.974140818620435,0.959543909523722,0.652967073798332,0.873838755071812,0.959770163244508,0.993255209657132,0.0179177609469255,0.978826944609404,0.995856211429236,0.978244300097069,0.980667872339704,0.988904313543317
"seq_23",4.7882080787086,8.06411431281414,0.622174321925825,0.449122148797419,-0.00503624268915889,0.0071506457956916,-0.730633998683127,0.437987341945766,-0.0692394793197688,0.0299088221990332,-2.34317282370306,0.0801382231630734,-1.72160431417265,1.48200315805215,-1.17474886812567,0.327302693333065,1.11964512388729,2.98078218449948,0.390267534792066,0.499739876248975,-0.184548140591724,3.31028802926032,-0.0755249838744877,0.477311116549567,5.25465644353201,1.36126143626955,3.89440613977285,0.00191516009996272,1.1394236521336,3.98301466309297,0.295142588837297,0.531644967428908,-0.779099257263217,2.59181504630345,-0.314010916285382,0.521740528133739,1.57599324649654,2.5331514627115,0.611398827223222,0.477526313050411,-1.32706638414543,3.07144235484082,-0.455929440165405,0.478684058028283,-0.326318355169562,3.52923700438773,-0.119383343638103,0.542801417971057,0.945382118554582,0.93137890607556,0.451963605677862,0.837751962405763,0.975338300763156,0.978087565181419,0.0235346589397749,0.982899809127946,0.979696605169296,0.953497835496191,0.966545439554018,0.987534904304923
"seq_24",4.94019360076242,8.28648881518429,0.602403425839347,0.463793310887048,-0.00517284342714682,0.00734783066172399,-0.707780359633001,0.437871670925233,-0.0730885423801116,0.030733582265048,-2.40496430734553,0.0594615631829557,-1.40744535643627,1.52287059891409,-0.95182989346413,0.403247281260137,1.05139382099345,3.06297967442079,0.341064218071016,0.513723074586806,-0.0666288860659187,3.40157191049684,-0.0172694303378475,0.594427628294762,5.36454955458212,1.39879932607911,3.88147370589713,0.00256077303089338,0.978211218831953,4.09284952768943,0.21993708642868,0.536443972336832,-0.0489903642357849,2.66328645144479,-0.017081739349663,0.589527830370408,1.7234107564946,2.60300517188494,0.671722442198038,0.492039674370453,-1.26719811000472,3.15613987259934,-0.40543163398117,0.518979127171647,0.162581515340441,3.62655858145788,0.0390973095263623,0.568153863399571,0.990821835330207,0.988758489670808,0.458821597131252,0.889993944704385,0.987227885551325,0.995159437209006,0.0298387312476175,0.979016182752514,0.990916639240866,0.9895910942538,0.995330022036588,0.985477026467131
"seq_25",-8.76964307881795,9.3189910529245,-0.942118871226601,0.410882428025434,0.0101482673867704,0.00826337544431807,1.23373378507734,0.28105257875695,0.0448515667685037,0.0345630078722228,1.31116048527512,0.26305085102724,-8.00108136232346,1.71262132883559,-4.71584645074655,0.000231082074035137,-7.28705080756491,3.44462906037026,-2.12931723141622,0.0659212446585355,-2.27570193958795,3.82541012324945,-0.609166363586147,0.520137009797282,-7.18632254716584,1.5730906895912,-4.60953532102682,0.000373669847280978,-4.60465576771589,4.60282140966793,-1.01915162032059,0.399930307464003,-1.19307331477227,2.99513378536275,-0.403363253499148,0.574073120138078,-3.98258682383511,2.92734141667607,-1.36921526777179,0.244087880164871,-0.0730585001592538,3.54939708367632,-0.0273258586542133,0.647961145953701,-2.60342491303274,4.07843028902476,-0.64506229692151,0.52458653229432,0.983332743001362,0.958601271322059,0.905593985967503,0.00367984071454184,0.670899420371457,1,0.00530525478245138,0.945190980325049,0.999725358387729,0.909458476783772,1,0.992104947885826
"seq_26",6.08167397919158,8.20920610765367,0.761690691105038,0.437016284257506,-0.00758893493977772,0.00727930221008668,-1.0641189432035,0.366389715039093,0.037501811092529,0.030446950073473,1.24278408798409,0.302265987534887,-3.05895132717325,1.50866777239398,-2.06218371390572,0.104054006344754,2.60276814600538,3.03441324928826,0.875611686665157,0.423486502950971,-5.40258968962727,3.3698476551498,-1.628303825056,0.198247361664925,3.54117389700063,1.3857536318626,2.59661681271439,0.0406322702602535,2.21877328006189,4.05467817428874,0.56074765872585,0.489785801994161,-1.17774116409896,2.63844770580862,-0.457969312535551,0.521099958718946,-3.22680222748571,2.57872863065184,-1.28946759171042,0.314170613314376,-3.59985715098048,3.12670460271123,-1.17097201715437,0.33656684073355,-4.01293415734404,3.59273602133085,-1.13428606581291,0.350758375323237,0.953545788746349,0.914872978493059,0.928782852401636,0.560959771768733,0.942129800560885,0.811698831316178,0.273209166238624,0.993428698963939,0.987878955029369,0.864749810914222,0.89932187120219,0.920357241643265
"seq_30",1.57617943541253,7.67446498329279,0.215281810795788,0.53846488169733,-0.00293665835946114,0.00680513428235548,-0.442284779296828,0.522527278142104,-0.0374378771409026,0.028463660081464,-1.33916310548865,0.280335065069079,-1.51313510030911,1.41039435955509,-1.0906937487249,0.348227956805622,1.22233039364468,2.83675399558928,0.436092325736704,0.531043806136565,-0.0161306529131661,3.15033847236053,-0.00844493642300826,0.583756554964821,3.5970712534097,1.29548674789455,2.83826296258308,0.0374017168254919,1.50480194093601,3.79055967885723,0.410527158009204,0.479283600054237,0.76196058448735,2.46658133112276,0.315213449069997,0.567589377842576,1.24526965319491,2.41075230878915,0.526096573414933,0.503177659044201,-0.31734603167393,2.92303356401732,-0.114934457122115,0.533492630701581,0.167506902867935,3.35870806851978,0.0482596285441931,0.5152460108019,0.980589936678907,0.967823204952739,0.834516562551359,0.858999867668751,0.969278462621881,0.982022370418098,0.222680052130719,0.986612748360941,0.989392774180872,0.980734837525013,0.99026949513741,0.989993159313386
"seq_33",20.1650352444843,8.39798421729951,2.43607749316534,0.057455187667786,-0.0183979325756254,0.00744669633964565,-2.50460483205696,0.0514954361067101,-0.00786817592479346,0.0311471051924915,-0.251498420263069,0.616779477206314,-2.59242459332252,1.54336095056752,-1.68900768027025,0.161362454265326,3.83495286694063,3.10419232287625,1.25674785783508,0.314310874358089,-8.38865937934077,3.44734034589129,-2.46827982710133,0.0537208444439764,-5.16554902360764,1.41762028834891,-3.69028113003115,0.00689997125585973,1.95853350181115,4.1479191614106,0.471581014243957,0.489842291058656,-7.15473998268598,2.69912119405708,-2.68862785670733,0.0356061976141231,-5.94314459968459,2.63802882482411,-2.28115621763344,0.0687457203301108,-8.87909634130924,3.19860599933598,-2.81344972738668,0.0283733312844389,-8.61974380048912,3.67535423138298,-2.37033909129595,0.0604061477907346,0.470742824941049,0.446390233353873,0.994292567812186,0.744103608393087,0.901840276327113,0.448324876455852,0.0605609197388502,0.98914852103241,0.352641420592711,0.540149520643503,0.303593818173817,0.527847133189806
